Pos_Current,Pos_Next,Width_Current,Width_Next
"[-493.0, 404.0]","[22.0, -454.0]",100,100
"[22.0, -454.0]","[-631.0, 304.0]",100,100
"[-631.0, 304.0]","[366.0, 224.0]",100,100
"[366.0, 224.0]","[-387.0, -435.0]",100,100
"[-387.0, -435.0]","[386.0, 200.0]",100,100
"[386.0, 200.0]","[-533.0, -194.0]",100,100
"[-533.0, -194.0]","[210.0, 475.0]",100,100
"[210.0, 475.0]","[577.0, -455.0]",100,100
"[577.0, -455.0]","[-272.0, 74.0]",100,100
"[-272.0, 74.0]","[640.0, -338.0]",100,100
"[640.0, -338.0]","[-334.0, -110.0]",100,100
"[-334.0, -110.0]","[557.0, 344.0]",100,100
"[557.0, 344.0]","[-139.0, -374.0]",100,100
"[-139.0, -374.0]","[476.0, 415.0]",100,100
"[476.0, 415.0]","[-30.0, -448.0]",100,100
"[-30.0, -448.0]","[463.0, 422.0]",100,100
"[463.0, 422.0]","[-56.0, -433.0]",100,100
"[-56.0, -433.0]","[-665.0, 360.0]",100,100
"[-665.0, 360.0]","[119.0, -261.0]",100,100
"[119.0, -261.0]","[860.0, 409.0]",100,100
"[860.0, 409.0]","[225.0, -363.0]",100,100
"[225.0, -363.0]","[-528.0, 295.0]",100,100
"[-528.0, 295.0]","[224.0, -363.0]",100,100
"[224.0, -363.0]","[-306.0, 485.0]",100,100
"[-306.0, 485.0]","[-783.0, -394.0]",100,100
"[-783.0, -394.0]","[-86.0, 323.0]",100,100
"[-86.0, 323.0]","[-894.0, -266.0]",100,100
"[-894.0, -266.0]","[-223.0, 476.0]",100,100
"[-223.0, 476.0]","[506.0, -209.0]",100,100
"[506.0, -209.0]","[-405.0, 205.0]",100,100
